customer.cust_id,customer.name,customer.email,customer.phone_numb,customer.account_number,customer.bank_id,customer.ktp,customer.dob,customer.city,customer.address,customer.postal_code,customer.total_transaction,customer.income
45942,Terry Lambert,xxxxx.xxxxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,c61d56448c2a878063b45b56a46f661544b9d7ff164e72e0257b18be67c4227e,944,3275xxxxxxxxxxxx,2002-12-17,Medan,Xx. Xxxxxxxxxx Xx. nn,80058,306103112.00,6559336.00
31475,John Nelson,xxxx.xxxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,0d66b293423c97d0463e911362f8ccd0273dae330d20df7480acff9528d3abd6,366,3275xxxxxxxxxxxx,1981-11-20,Surabaya,Xx. Xxxxxxxxxx Xx. nn,60389,519192916.00,9273354.00
27679,Isaiah Clark,xxxxxx.xxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,caa64afa3908d869d9edbddcc7be874b1adafdcc5529e99d91e8a98c663392f4,971,3275xxxxxxxxxxxx,1973-09-28,Bandung,Xx. Xxxxxxxxxx Xx. nn,89473,379914079.00,7904740.00
72871,Timothy Jensen,xxxxxxx.xxxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,f3df54e610d267f90988f11ab649300eea8ea52b3062e1ac620c7d06ceb4a5f4,293,3275xxxxxxxxxxxx,1982-07-21,Bandung,Xx. Xxxxxxxxxx Xx. nn,13755,504314538.00,2842257.00
53759,Ariel Allen,xxxxx.xxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,d8c8cc5574f3f34dd7439ed242453cf5504bd6838e0c4411c38349c10963d53e,372,3275xxxxxxxxxxxx,1972-06-13,Medan,Xx. Xxxxxxxxxx Xx. nn,38760,986041375.00,4314333.00
63350,Ann Kim,xxx.xxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,9a8116c29d24da8078aece8314545edcbb82b95bce57a71f07af2ce45f4746c1,985,3275xxxxxxxxxxxx,2001-09-17,Surabaya,Xx. Xxxxxxxxxx Xx. nn,78542,50896430.00,8968613.00
38155,Chase Stewart,xxxxx.xxxxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,b156f9e9802e08fa78f285549f71f6a48f0a99778dc5e35fa2bfeb73897a899c,513,3275xxxxxxxxxxxx,1997-12-08,Surabaya,Xx. Xxxxxxxxxx Xx. nn,92044,902931146.00,4257223.00
33931,Mr. Kevin Snyder,xx..xxxxx.xxxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,c771073b6df0c3f4c735ed71b061d47b9dae968b4f2b76db3327d9619e4a6339,303,3275xxxxxxxxxxxx,1994-06-06,Jakarta,Xx. Xxxxxxxxxx Xx. nn,60608,141857266.00,6887787.00
59194,Ashley Johnson,xxxxxx.xxxxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,2a8931a4ec0d9c7362c4a09c262c481c0e9fa010d7e188fa91e17d57b9fb1eb2,463,3275xxxxxxxxxxxx,1988-05-31,Semarang,Xx. Xxxxxxxxxx Xx. n,81785,730059473.00,9495548.00
35960,Charles Buchanan,xxxxxxx.xxxxxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,3d2903c24cb0a04be899565cf1b4996416776d979906153b80495cef1c232036,873,3275xxxxxxxxxxxx,1991-12-10,Bandung,Xx. Xxxxxxxxxx Xx. nn,90831,773718675.00,5188711.00
87107,Ronald Murphy,xxxxxx.xxxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,c8ba935c7a474523f5cee0569e29b0577ec24ceaa7e3657cbbe477cf382c4624,768,3275xxxxxxxxxxxx,1989-09-24,Bandung,Xx. Xxxxxxxxxx Xx. nn,74390,490154531.00,3605577.00
26008,Dennis Porter,xxxxxx.xxxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,c6a506891d14543b80aa28dcd3205a160502b92e6dc1737b889a75a4f5521422,550,3275xxxxxxxxxxxx,1974-07-06,Bandung,Xx. Xxxxxxxxxx Xx. nn,50586,586153515.00,5067696.00
42219,Madison Buchanan,xxxxxxx.xxxxxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,52031d648b9f69e6f7363ce1b64fb138bbae95df3790101d620a7c20a4a9b445,993,3275xxxxxxxxxxxx,1981-04-11,Jakarta,Xx. Xxxxxxxxxx Xx. nn,93929,732792511.00,5128949.00
33344,Randy Maldonado,xxxxx.xxxxxxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,8dac99bfd28305d06c01f9717d0b800f771796eb158422ca339570adbf178845,790,3275xxxxxxxxxxxx,1988-03-14,Jakarta,Xx. Xxxxxxxxxx Xx. nn,95681,884776128.00,4452149.00
59661,Joann Medina,xxxxx.xxxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,5c8ac12ea30fc24ec480deb01e42ca2bec3cc0e2cae8c5166bb0544d961424bd,566,3275xxxxxxxxxxxx,1979-12-13,Surabaya,Xx. Xxxxxxxxxx Xx. nn,95247,724821754.00,6624053.00
79055,Thomas Carter,xxxxxx.xxxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,6e6b8835a42aff3f5c3e5924ad33f636e8ce00aebd4302a40bfd848a3e82b4ca,606,3275xxxxxxxxxxxx,1988-12-17,Medan,Xx. Xxxxxxxxxx Xx. nn,51582,344744136.00,5718042.00
