order_id,gmv,profit,quantity,category,sub_category,cost,total_gmv,total_cost,total_profit,order_date,customer_name,city,country,region,segment,ship_date,ship_mode,lon,lat
AZ-2011-252578,39.0,10.0,6,Office Supplies,Binders,29.0,234.0,29.0,60.0,2011-04-21,Sebastian McClelland,Elx,Spain,South,Consumer,2011-04-26,Economy,-0.7125608,38.2699329
AZ-2014-9539724,485.0,199.0,4,Office Supplies,Storage,286.0,1940.0,286.0,796.0,2014-08-29,Alice Currie,Elx,Spain,South,Consumer,2014-09-03,Economy,-0.7125608,38.2699329
AZ-2011-252578,444.0,89.0,4,Technology,Phones,355.0,1776.0,355.0,356.0,2011-04-21,Sebastian McClelland,Elx,Spain,South,Consumer,2011-04-26,Economy,-0.7125608,38.2699329
AZ-2013-503783,299.0,116.0,4,Office Supplies,Appliances,183.0,1196.0,183.0,464.0,2013-01-01,Freddie Kaur,Pau,France,Central,Consumer,2013-01-01,Immediate,-0.370797,43.2951
AZ-2014-1861968,232.0,85.0,3,Office Supplies,Appliances,147.0,696.0,147.0,255.0,2014-05-07,Mark Westfall,Pau,France,Central,Consumer,2014-05-11,Economy,-0.370797,43.2951
AZ-2011-3378761,773.0,46.0,5,Technology,Phones,727.0,3865.0,727.0,230.0,2011-11-23,Oscar Serena,Ulm,Germany,Central,Consumer,2011-11-27,Economy,9.9876076,48.4010822
AZ-2011-3378761,583.0,245.0,7,Technology,Machines,338.0,4081.0,338.0,1715.0,2011-11-23,Oscar Serena,Ulm,Germany,Central,Consumer,2011-11-27,Economy,9.9876076,48.4010822
AZ-2011-3378761,282.0,70.0,8,Office Supplies,Binders,79.0,2256.0,212.0,560.0,2011-11-23,Oscar Serena,Ulm,Germany,Central,Consumer,2011-11-27,Economy,9.9876076,48.4010822
AZ-2014-3802828,307.0,67.0,12,Office Supplies,Art,173.0,3684.0,240.0,804.0,2014-11-07,Angelina Hurst,Ulm,Germany,Central,Consumer,2014-11-12,Economy Plus,9.9876076,48.4010822
AZ-2014-3802828,260.0,47.0,1,Technology,Copiers,213.0,260.0,213.0,47.0,2014-11-07,Angelina Hurst,Ulm,Germany,Central,Consumer,2014-11-12,Economy Plus,9.9876076,48.4010822
AZ-2014-4045031,936.0,66.0,3,Technology,Machines,870.0,2808.0,870.0,198.0,2014-10-23,Lara Giles,Ulm,Germany,Central,Consumer,2014-10-26,Priority,9.9876076,48.4010822
AZ-2013-244740,1772.0,0.0,6,Technology,Copiers,1772.0,10632.0,1772.0,0.0,2013-07-22,Tina Phelps,Ulm,Germany,Central,Consumer,2013-07-29,Economy,9.9876076,48.4010822
AZ-2012-1031006,264.0,18.0,5,Furniture,Chairs,246.0,1320.0,246.0,90.0,2012-08-29,Kayleigh Farmer,Ulm,Germany,Central,Consumer,2012-09-03,Economy,9.9876076,48.4010822
AZ-2011-3378761,155.0,56.0,3,Furniture,Furnishings,99.0,465.0,99.0,168.0,2011-11-23,Oscar Serena,Ulm,Germany,Central,Consumer,2011-11-27,Economy,9.9876076,48.4010822
AZ-2011-3378761,307.0,82.0,2,Furniture,Bookcases,225.0,614.0,225.0,164.0,2011-11-23,Oscar Serena,Ulm,Germany,Central,Consumer,2011-11-27,Economy,9.9876076,48.4010822
