cust_id,name,bank_id,dob,city,postal_code,total_transaction,income,cluster
64803,Kimberly Mckinney,7,1,2,10150,731064773.0,7652685.0,7
57331,Kelly Silva,7,6,4,50115,787979424.0,9305611.0,2
20759,Heather Jackson,2,9,3,20111,207590810.0,3984638.0,5
85460,Dalton Salinas,1,5,1,40112,870578029.0,2603126.0,6
12955,William Estrada,1,9,3,20114,686373810.0,8529827.0,6
26134,William Hunter,1,2,2,10140,672023523.0,5311824.0,1
79181,Thomas Gonzales,5,9,1,40114,423410982.0,6952805.0,4
73498,Todd Evans,7,9,3,20115,13149432.0,5151334.0,4
50084,Alexander Gutierrez,6,3,1,40115,332784854.0,2907925.0,7
55200,Carrie Long,5,9,1,40112,224063411.0,8787923.0,4
15322,Jared Gonzalez,3,7,1,40112,379812778.0,2067699.0,6
80673,Tammy Hicks,7,8,5,60112,267261951.0,2818206.0,2
99055,James Fowler,2,4,3,20114,282569407.0,9626466.0,1
48477,James Sullivan,1,7,4,50112,441800405.0,5192808.0,5
13404,Susan Cannon,5,5,2,10110,596375766.0,4810082.0,7
34959,Julie Vance,1,6,1,40112,154463217.0,7877770.0,1
95717,Kimberly Durham,7,1,2,10120,905553961.0,8664044.0,7
28966,Judy Russell,7,4,4,50112,827616268.0,2332788.0,2
61312,Dorothy Pugh,1,1,3,20113,550547259.0,6124600.0,1
26621,Ashley Cabrera,5,7,4,50111,444008749.0,6462939.0,2
37540,Denise Mcdaniel,3,2,3,20114,356120071.0,9287109.0,1
84017,Shannon Hernandez,6,4,1,40114,45686147.0,4474385.0,4
19231,Kevin Berry,4,6,5,60111,741029648.0,2178276.0,2
63265,Sarah Martin,6,4,1,40113,360517329.0,5215918.0,7
67570,Jeffrey Fleming,3,7,2,10130,240807312.0,6152963.0,6
79792,Mr. Chase Merritt,1,9,1,40111,391691012.0,9729445.0,6
31833,Dalton Hansen,7,4,1,40112,219469165.0,4229398.0,4
25408,Kenneth Clark,6,8,5,60111,254921795.0,6145327.0,2
49382,Robert Macdonald,5,3,1,40113,387611665.0,5507339.0,7
33340,Melissa Lowe,4,6,1,40113,852969072.0,9937315.0,6
74181,Jacob Norris,7,4,5,60115,305751775.0,7606058.0,3
63757,Margaret Jones,2,6,4,50112,496462212.0,3576319.0,5
91502,Ann Sanchez,7,5,3,20111,47510048.0,5955555.0,3
68876,Troy Davis,6,1,3,20113,427956454.0,5384436.0,3
24132,Andrew Richardson,3,6,3,20111,562668722.0,8221647.0,6
80681,Christopher Sullivan,2,3,2,10140,843877088.0,6477506.0,1
54387,Manuel Smith,3,6,3,20112,174026715.0,4846093.0,5
34316,Roger Bradley,1,3,4,50111,332674421.0,7010070.0,0
94340,Leah Hunter,2,2,4,50113,201312212.0,2570640.0,0
59132,Tabitha Hardy,3,3,4,50114,325009328.0,3072961.0,0
38215,Justin Velez,1,4,3,20111,755857209.0,7969622.0,0
16404,Benjamin Williams,2,3,1,40111,523527470.0,6498107.0,1
79779,Heather Montoya,4,6,5,60115,76498301.0,9347200.0,5
64576,John Diaz,5,2,3,20112,175648509.0,3449112.0,3
51805,Laura Hart,4,3,5,60113,958468989.0,6896816.0,0
89026,Susan Silva,7,6,4,50113,642351195.0,8840403.0,2
26028,Amber Hill,7,7,3,20114,416286999.0,5302375.0,4
37253,Nicholas Mccullough,3,7,2,10140,69459491.0,4983671.0,4
45497,Brandi Hamilton,3,1,2,10110,589061869.0,6099859.0,1
94927,Barry Harrell,2,2,2,10120,905178609.0,6220073.0,1
18154,Heidi Martin,5,7,5,60114,340133542.0,3300576.0,2
54540,Jason Miller,4,2,1,40113,521400296.0,2270878.0,7
78193,Chad Miller,3,9,4,50112,591994159.0,9088543.0,5
67024,Dylan Pearson PhD,2,3,1,40113,950988781.0,4762538.0,6
30581,Amy Bush,7,5,4,50112,416171510.0,6903616.0,3
11211,Barry Park,4,8,1,40115,575178862.0,7147324.0,6
26788,Pamela Garcia,3,4,1,40112,835855190.0,5279013.0,6
54054,Brian Osborne,6,4,1,40115,370924327.0,6441280.0,7
26656,Carlos Combs,3,8,4,50115,800493678.0,5915797.0,2
88181,William Becker,3,3,3,20115,220826262.0,8534197.0,1
57267,Brian Ortiz,2,1,1,40113,590141099.0,6608178.0,1
62683,Michael Galvan DDS,6,3,2,10140,120412055.0,7384824.0,3
93065,Ann Lewis,2,4,5,60112,448959421.0,3173416.0,0
34381,Kevin Stewart,6,1,1,40112,692327078.0,8277681.0,7
80905,Jennifer Johnson,6,3,3,20115,785858540.0,5853800.0,7
77638,Shawn Smith,2,7,2,10120,657973366.0,3466919.0,6
43737,Ronald Watkins,4,4,4,50113,391853593.0,5812345.0,3
88188,Lisa Mendez,5,7,4,50114,878395931.0,6703720.0,2
67110,Taylor Foley,2,6,1,40111,223341958.0,7622950.0,1
26660,Melissa Ashley,3,5,5,60112,699376019.0,6860046.0,0
33267,John Zavala,2,5,4,50114,289226431.0,9535262.0,5
17865,Janet Khan,5,7,1,40112,612675008.0,6625090.0,4
14312,Victoria Reyes,6,5,1,40114,986769035.0,3772635.0,7
68084,Roberto Lucas,4,5,3,20112,53061882.0,7269770.0,3
86770,Claudia Hampton,1,4,2,10130,561570543.0,3461516.0,1
57582,Gary Baker,2,1,1,40114,761608703.0,8238839.0,1
53372,Jocelyn Garcia,5,3,2,10140,318404342.0,7428516.0,7
15175,Jennifer Gardner,2,8,4,50115,195876164.0,6074634.0,5
32279,Peter Henderson,4,3,2,10130,780804576.0,6642492.0,7
78110,Carrie Thompson,3,9,4,50113,775315912.0,4570068.0,2
73767,John Ramirez,6,2,2,10140,460034032.0,3630111.0,7
96657,Kevin Shepherd,4,5,2,10150,383927460.0,5719232.0,4
42630,Michael May,3,9,4,50112,154562161.0,7036347.0,5
