cust_id,name,email,phone_numb,account_number,bank_id,ktp,dob,city,address,postal_code,total_transaction,income,cluster
64803,Kimberly Mckinney,xxxxxxxx.xxxxxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,301fdcc91747c3115e4f0dda4de50ab025cc913008dd286eed2e2f9cf05ab536,22,3275xxxxxxxxxxxx,19 - 22,Jakarta,Xx. Xxxxxxx Xx. nn,10150,731064773.0,7652685.0,3
57331,Kelly Silva,xxxxx.xxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,8942a119fed40f880c327e639ac516305570f1e8a209888de426e98ff02e67c8,22,3275xxxxxxxxxxxx,39 - 42,Semarang,Xx. Xxxxxx Xx. nn,50115,787979424.0,9305611.0,2
20759,Heather Jackson,xxxxxxx.xxxxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,ad11e86805a43736012a0424bd880259326d3b0ff2e9f2615ef8e61df03ba0ba,8,3275xxxxxxxxxxxx,51 - 54,Medan,Xx. Xxxxxxxx Xxxx Xx. nn,20111,207590810.0,3984638.0,0
85460,Dalton Salinas,xxxxxx.xxxxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,eb539b105b8d1a99f06f7a68e556a61c9c104de7aa2aef265eadd89fa283194e,2,3275xxxxxxxxxxxx,35 - 38,Bandung,Xx. Xxxx Xxxxxx Xx. nn,40112,870578029.0,2603126.0,3
12955,William Estrada,xxxxxxx.xxxxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,cf635df1a620915631523f5d8747283267e34277f4135b27f28f3bb03920e30c,2,3275xxxxxxxxxxxx,51 - 54,Medan,Xx. Xxxxxxxx Xxxx Xx. nnn,20114,686373810.0,8529827.0,0
26134,William Hunter,xxxxxxx.xxxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,06c7f0c7280603215d5fcc8591ed7ed71c67316765ed9afdfd69a7de64fd245e,2,3275xxxxxxxxxxxx,23 - 26,Jakarta,Xx. Xxxxxx Xxxx Xx. nn,10140,672023523.0,5311824.0,3
79181,Thomas Gonzales,xxxxxx.xxxxxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,21cb92a007d2bf9bb344beb6f34523ac7db6a937910bdb5a845905f84baf1f1c,13,3275xxxxxxxxxxxx,51 - 54,Bandung,Xx. Xxxx Xx. nn,40114,423410982.0,6952805.0,1
73498,Todd Evans,xxxx.xxxxx@xxxxxxx.xxx,+62 xxxxxxxxxxx,b7e2f4b9b16b4cf2b4e71dc082d0fe14ad30e4608b5e1299b98131c0e7064815,22,3275xxxxxxxxxxxx,51 - 54,Medan,Xx. Xxxxxxxxxxxxxxxx Xx. nn,20115,13149432.0,5151334.0,1
50084,Alexander Gutierrez,xxxxxxxxx.xxxxxxxxx@xxxxx.xxx,+62 xxxxxxxxxxx,a2f05aa5e00a795c724f58832a05bb6130877bd5c9e57b1ca1eaab691dc7061f,14,3275xxxxxxxxxxxx,27 - 30,Bandung,Xx. Xxxxxxxxxx Xx. nn,40115,332784854.0,2907925.0,3
55200,Carrie Long,xxxxxx.xxxx@xxxxx.xxx,+62 xxxxxxxxxxx,81eafdf49b391d01559c3121abf0f002a760a222111ebe7627a938528de04af4,13,3275xxxxxxxxxxxx,51 - 54,Bandung,Xx. Xxxxxxxxxx Xx. nn,40112,224063411.0,8787923.0,1
