cust_id,name,bank_id,dob,city,total_transaction,income,cluster
64803,Kimberly Mckinney,7,1,2,731064773.0,7652685.0,3
57331,Kelly Silva,7,6,4,787979424.0,9305611.0,2
20759,Heather Jackson,2,9,3,207590810.0,3984638.0,0
85460,Dalton Salinas,1,5,1,870578029.0,2603126.0,3
12955,William Estrada,1,9,3,686373810.0,8529827.0,0
26134,William Hunter,1,2,2,672023523.0,5311824.0,3
79181,Thomas Gonzales,5,9,1,423410982.0,6952805.0,1
73498,Todd Evans,7,9,3,13149432.0,5151334.0,1
50084,Alexander Gutierrez,6,3,1,332784854.0,2907925.0,3
55200,Carrie Long,5,9,1,224063411.0,8787923.0,1
15322,Jared Gonzalez,3,7,1,379812778.0,2067699.0,1
80673,Tammy Hicks,7,8,5,267261951.0,2818206.0,2
99055,James Fowler,2,4,3,282569407.0,9626466.0,0
48477,James Sullivan,1,7,4,441800405.0,5192808.0,0
13404,Susan Cannon,5,5,2,596375766.0,4810082.0,1
34959,Julie Vance,1,6,1,154463217.0,7877770.0,3
95717,Kimberly Durham,7,1,2,905553961.0,8664044.0,3
28966,Judy Russell,7,4,4,827616268.0,2332788.0,2
61312,Dorothy Pugh,1,1,3,550547259.0,6124600.0,3
26621,Ashley Cabrera,5,7,4,444008749.0,6462939.0,2
37540,Denise Mcdaniel,3,2,3,356120071.0,9287109.0,3
84017,Shannon Hernandez,6,4,1,45686147.0,4474385.0,3
19231,Kevin Berry,4,6,5,741029648.0,2178276.0,0
63265,Sarah Martin,6,4,1,360517329.0,5215918.0,3
67570,Jeffrey Fleming,3,7,2,240807312.0,6152963.0,1
79792,Mr. Chase Merritt,1,9,1,391691012.0,9729445.0,1
31833,Dalton Hansen,7,4,1,219469165.0,4229398.0,1
25408,Kenneth Clark,6,8,5,254921795.0,6145327.0,2
49382,Robert Macdonald,5,3,1,387611665.0,5507339.0,3
33340,Melissa Lowe,4,6,1,852969072.0,9937315.0,1
74181,Jacob Norris,7,4,5,305751775.0,7606058.0,2
63757,Margaret Jones,2,6,4,496462212.0,3576319.0,0
91502,Ann Sanchez,7,5,3,47510048.0,5955555.0,2
68876,Troy Davis,6,1,3,427956454.0,5384436.0,2
24132,Andrew Richardson,3,6,3,562668722.0,8221647.0,0
80681,Christopher Sullivan,2,3,2,843877088.0,6477506.0,3
54387,Manuel Smith,3,6,3,174026715.0,4846093.0,0
34316,Roger Bradley,1,3,4,332674421.0,7010070.0,0
94340,Leah Hunter,2,2,4,201312212.0,2570640.0,0
59132,Tabitha Hardy,3,3,4,325009328.0,3072961.0,0
38215,Justin Velez,1,4,3,755857209.0,7969622.0,0
16404,Benjamin Williams,2,3,1,523527470.0,6498107.0,3
79779,Heather Montoya,4,6,5,76498301.0,9347200.0,0
64576,John Diaz,5,2,3,175648509.0,3449112.0,3
51805,Laura Hart,4,3,5,958468989.0,6896816.0,2
89026,Susan Silva,7,6,4,642351195.0,8840403.0,2
26028,Amber Hill,7,7,3,416286999.0,5302375.0,2
37253,Nicholas Mccullough,3,7,2,69459491.0,4983671.0,1
45497,Brandi Hamilton,3,1,2,589061869.0,6099859.0,3
94927,Barry Harrell,2,2,2,905178609.0,6220073.0,3
18154,Heidi Martin,5,7,5,340133542.0,3300576.0,2
54540,Jason Miller,4,2,1,521400296.0,2270878.0,3
78193,Chad Miller,3,9,4,591994159.0,9088543.0,0
67024,Dylan Pearson PhD,2,3,1,950988781.0,4762538.0,3
30581,Amy Bush,7,5,4,416171510.0,6903616.0,2
11211,Barry Park,4,8,1,575178862.0,7147324.0,1
26788,Pamela Garcia,3,4,1,835855190.0,5279013.0,3
54054,Brian Osborne,6,4,1,370924327.0,6441280.0,3
26656,Carlos Combs,3,8,4,800493678.0,5915797.0,0
88181,William Becker,3,3,3,220826262.0,8534197.0,3
57267,Brian Ortiz,2,1,1,590141099.0,6608178.0,3
62683,Michael Galvan DDS,6,3,2,120412055.0,7384824.0,3
93065,Ann Lewis,2,4,5,448959421.0,3173416.0,0
34381,Kevin Stewart,6,1,1,692327078.0,8277681.0,3
80905,Jennifer Johnson,6,3,3,785858540.0,5853800.0,2
77638,Shawn Smith,2,7,2,657973366.0,3466919.0,1
43737,Ronald Watkins,4,4,4,391853593.0,5812345.0,2
88188,Lisa Mendez,5,7,4,878395931.0,6703720.0,2
67110,Taylor Foley,2,6,1,223341958.0,7622950.0,1
26660,Melissa Ashley,3,5,5,699376019.0,6860046.0,0
33267,John Zavala,2,5,4,289226431.0,9535262.0,0
17865,Janet Khan,5,7,1,612675008.0,6625090.0,1
14312,Victoria Reyes,6,5,1,986769035.0,3772635.0,1
68084,Roberto Lucas,4,5,3,53061882.0,7269770.0,3
86770,Claudia Hampton,1,4,2,561570543.0,3461516.0,3
57582,Gary Baker,2,1,1,761608703.0,8238839.0,3
53372,Jocelyn Garcia,5,3,2,318404342.0,7428516.0,3
15175,Jennifer Gardner,2,8,4,195876164.0,6074634.0,0
32279,Peter Henderson,4,3,2,780804576.0,6642492.0,3
78110,Carrie Thompson,3,9,4,775315912.0,4570068.0,0
73767,John Ramirez,6,2,2,460034032.0,3630111.0,3
96657,Kevin Shepherd,4,5,2,383927460.0,5719232.0,1
42630,Michael May,3,9,4,154562161.0,7036347.0,0
93391,Diane Owens,6,7,4,29777390.0,9782491.0,2
54409,Amber Espinoza,4,8,3,906074755.0,6406325.0,1
27419,Lisa Bennett,6,3,2,49089192.0,7891456.0,3
60562,Susan Clark,1,3,3,595314853.0,9460606.0,0
69055,Sara Pierce,6,4,5,159115348.0,8662304.0,2
20549,Jacqueline Wilson,3,9,1,636017028.0,3950395.0,1
64089,Kimberly Wyatt,5,4,3,87067926.0,4918651.0,2
96093,George Jackson,2,8,3,744480954.0,3843115.0,0
20758,David Woods,4,4,5,216542424.0,5059158.0,2
54019,Kyle Palmer,4,1,3,136349187.0,5241596.0,3
52273,Brooke Torres,1,1,2,946465130.0,7324205.0,3
78182,James Mays,7,5,1,179287828.0,2662664.0,1
42506,Kimberly Garcia,3,1,4,161631400.0,4169728.0,0
59509,Denise Hopkins,4,6,5,422748403.0,7617319.0,0
92571,Peter Fields,5,6,5,65458584.0,8056605.0,2
34429,Dylan Collins,7,4,5,544258618.0,2224438.0,2
52410,Melissa Ross,4,7,5,869077563.0,8402130.0,0
20136,Megan Carter,5,5,1,853385864.0,3034303.0,1
39109,Jennifer Gutierrez,1,5,4,933600882.0,7905172.0,0
77619,Angela Henry,6,4,5,242507486.0,6810197.0,2
43881,Cynthia Powell,4,3,4,667820837.0,2910052.0,2
82034,Alexis Morgan,6,7,3,20809326.0,9069347.0,2
52694,Ashley Rubio,6,8,2,122171903.0,3703074.0,1
80628,Rebecca Rogers,3,2,5,852339036.0,6728363.0,0
25560,Amy Willis,4,6,2,586327014.0,2937011.0,1
94296,Angel Woodard,2,3,3,553660353.0,7782332.0,3
73084,Paul Dudley,6,2,2,618874173.0,7364658.0,3
86709,Amanda Ferguson,6,7,2,349367550.0,7759638.0,1
21842,David Jones,4,9,3,701036609.0,2225864.0,1
87700,Daniel Jackson,4,7,1,460543828.0,2539644.0,1
21900,Erik Estes,3,9,2,958325877.0,8079214.0,1
38666,Jessica Ford,1,3,5,340508813.0,2727962.0,0
90497,Michael Kramer,3,9,5,420568807.0,2934077.0,0
16152,Kelly Wolf,5,8,4,761331127.0,3608570.0,2
90233,James Robbins,3,5,3,49758960.0,2449431.0,0
83625,Cheryl Harmon,4,5,1,646058898.0,4638942.0,1
57973,George Zamora,2,8,1,927395705.0,3626205.0,1
48731,William Wilson,6,6,5,581499669.0,2115744.0,2
89669,Tara Munoz,2,6,1,269811274.0,7129364.0,1
81043,Matthew Rodriguez,1,2,3,549443450.0,8001588.0,3
13393,David Castillo,7,4,1,268773898.0,3828225.0,1
11069,Megan Martinez,3,5,1,846421243.0,2437111.0,3
46498,Caleb Perez,5,1,4,710615570.0,9391193.0,2
78090,Jennifer Silva,5,5,4,498514296.0,2527307.0,2
99542,Ryan Moore,5,5,3,611088831.0,9180317.0,2
68971,Regina Mccann,1,6,1,163529530.0,2471023.0,1
99080,Jacob Baxter,3,3,2,697083579.0,7615323.0,3
72507,Jeanette Gonzales,4,3,5,121642909.0,4206266.0,2
10473,Joseph Waller MD,3,4,5,182036935.0,9063241.0,0
23786,Laura Jensen,2,1,2,293884436.0,6238137.0,3
65012,Barbara Johnson,1,5,1,449257986.0,9198055.0,3
40129,Crystal Brown,1,6,1,858744714.0,9456459.0,3
82307,Christopher Rodriguez,6,8,5,589062549.0,5235167.0,2
25049,George Gonzales,5,4,2,625147999.0,2124306.0,3
41937,Alexis Young,2,7,4,229283565.0,4165398.0,0
10252,Jason Levy,7,5,3,481838546.0,9301401.0,2
33786,James Hooper,7,4,1,826566619.0,3526791.0,1
41083,Edward Fisher,2,8,1,269300772.0,3091054.0,1
71265,Gloria Stanley,7,9,5,367570863.0,4182833.0,2
91706,Evelyn Mora,3,8,1,957313787.0,4426686.0,1
60145,Toni Douglas,1,7,5,716798376.0,8034945.0,0
47512,Mrs. Vicki Bradford,6,8,4,910648671.0,6629627.0,2
99443,Brenda Smith DDS,2,8,1,502739890.0,4170698.0,1
94522,Christopher Mason,5,7,3,497746341.0,6322100.0,1
94164,Linda Garrett,6,6,1,858394956.0,9617731.0,1
34319,Michelle Larson,1,7,3,889577627.0,4183078.0,0
83739,Natalie Harris,5,5,1,828866073.0,4918902.0,1
33866,Ms. Samantha West,5,4,5,579875464.0,2229342.0,2
90954,Alfred Torres,3,4,4,177623884.0,8741382.0,0
78828,Johnathan Gray,3,4,1,827141428.0,8541181.0,3
96095,Jessica Young,7,4,5,156139416.0,3966373.0,2
67415,Cassandra Williams,7,9,2,299426658.0,5430898.0,1
72014,Karen Williams,1,5,5,73242032.0,7317603.0,0
63472,Frank Lewis,4,1,5,167217496.0,4933088.0,2
81014,Kelly Wilson,1,6,4,875959734.0,4280091.0,0
72779,Kayla Cobb,2,8,2,809376209.0,4097933.0,1
91174,Kimberly Robles MD,6,6,2,787891192.0,8732038.0,1
45640,Todd Atkinson,6,3,3,971734354.0,6702382.0,2
83715,Kelly Kim,3,8,5,275293392.0,7749129.0,0
50677,Gregory Lopez,1,3,3,544544501.0,9223938.0,0
68803,Lauren Rocha,1,5,5,939747524.0,8780175.0,0
68193,Alison Boyd,1,1,4,100299395.0,2981614.0,0
52766,Jacqueline Thomas,1,6,1,419965716.0,4021509.0,1
80834,Daniel Branch,7,4,2,698519316.0,8204624.0,2
53970,Ryan Nixon,5,3,4,934820901.0,5396201.0,2
